week,rank,title_name,platform_name,developer_name,title_id,platform_id,developer_id,title_url,platform_url,developer_url,genre,weekly_sales,total_sales,week_num
42785,1,For Honor,PS4,Ubisoft,85749,69,1750,http://www.vgchartz.com/game/85749/for-honor/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1750/ubisoft/,Action,"188,752","188,752",1
42785,2,For Honor,XOne,Ubisoft,85750,68,1750,http://www.vgchartz.com/game/85750/for-honor/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/1750/ubisoft/,Action,"119,420","119,420",1
42785,3,Sniper Elite 4,PS4,Rebellion Developments,120408,69,12605,http://www.vgchartz.com/game/120408/sniper-elite-4/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/12605/rebellion-developments/,Shooter,"40,716","40,716",1
42785,4,Nioh,PS4,Tecmo Koei,85912,69,16528,http://www.vgchartz.com/game/85912/ni-oh/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/16528/tecmo-koei/,Action,"35,271","141,570",2
42785,5,Pokemon Sun/Moon,3DS,Nintendo,91783,42,1167,http://www.vgchartz.com/game/91783/pokemon-sunmoon/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Role-Playing,"32,110","4,616,570",14
42785,6,Call of Duty: Infinite Warfare,PS4,Activision,108777,69,47,http://www.vgchartz.com/game/108777/call-of-duty-infinite-warfare/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/47/activision/,Shooter,"31,121","2,327,642",16
42785,7,NBA 2K17,XOne,Take-Two Interactive,103819,68,1631,http://www.vgchartz.com/game/103819/nba-2k17/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Sports,"30,088","1,244,239",23
42785,8,NBA 2K17,PS4,Take-Two Interactive,103818,69,1631,http://www.vgchartz.com/game/103818/nba-2k17/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Sports,"29,136","1,726,401",23
42785,9,Sniper Elite 4,XOne,Rebellion Developments,120409,68,12605,http://www.vgchartz.com/game/120409/sniper-elite-4/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/12605/rebellion-developments/,Shooter,"28,588","28,588",1
42785,10,Call of Duty: Infinite Warfare,XOne,Activision,108778,68,47,http://www.vgchartz.com/game/108778/call-of-duty-infinite-warfare/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/47/activision/,Shooter,"24,536","2,366,940",16
42785,11,Resident Evil VII: Biohazard,PS4,Capcom,120127,69,270,http://www.vgchartz.com/game/120127/resident-evil-vii-biohazard/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/270/capcom/,Action,"22,685","387,314",4
42785,12,Battlefield 1,XOne,Electronic Arts,110844,68,474,http://www.vgchartz.com/game/110844/battlefield-1/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/474/electronic-arts/,Shooter,"22,194","2,652,225",18
42785,13,Grand Theft Auto V,PS4,Take-Two Interactive,83196,69,1631,http://www.vgchartz.com/game/83196/grand-theft-auto-v/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Action,"19,778","4,083,135",118
42785,14,Uncharted 4: A Thief's End,PS4,Sony Computer Entertainment,77189,69,1535,http://www.vgchartz.com/game/77189/uncharted-4-a-thiefs-end/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1535/sony-computer-entertainment/,Shooter,"19,057","3,455,729",41
